Reg,Callsign,Country,Make,Model
VH-XCK,GUARDIAN 5,Australia,BELL HELICOPTER CO,412EP
VH-XGB,GUARDIAN 50,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-EPH,HELITAK 101,Australia,BELL HELICOPTER CO,412EP
VH-KBX,HELITAK 102,Australia,BELL HELICOPTER CO,412EP
VH-VQB,HELITAK 201,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-VBR,HELITAK 202,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-VJD,HELITAK 203,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-VJF,HELITAK 204,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-NPV,HELITAK 205,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-UCH,HELITAK 206,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-NBN,HELITAK 212,Australia,BELL HELICOPTER CO,212
VH-UAX,HELITAK 220,Australia,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
VH-OXE,HELITAK 223,Australia,OAS PARTS LLC,UH-1H
VH-TKD,HELITAK 224,Australia,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
VH-FHB,HELITAK 225,Australia,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
VH-FHF,HELITAK 226,Australia,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
VH-FHD,HELITAK 227,Australia,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
VH-JJY,HELITAK 231,Australia,BELL HELICOPTER CO,212
VH-SZV,HELITAK 240,Australia,BELL HELICOPTER CO,214B-1
VH-ESB,HELITAK 248,Australia,BELL HELICOPTER CO,412EP
VH-XCN,HELITAK 249,Australia,BELL HELICOPTER CO,412
VH-FHZ,HELITAK 257,Australia,"KAWASAKI HEAVY INDUSTRIES, LTD.",BK117 B-2
VH-OXU,HELITAK 258,Australia,OAS PARTS LLC,UH-1H
VH-CPO,HELITAK 263,Australia,GARLICK HELICOPTERS INC,UH-1H
VH-UAN,HELITAK 267,Australia,KAWASAKI HEAVY INDUSTRIES,BK117 B-2
VH-NSC,HELITAK 270,Australia,BELL HELICOPTER CO,412 SP
VH-HUE,HELITAK 271,Australia,BELL HELICOPTER CO,205 A1
VH-LUE,HELITAK 272,Australia,WILLIAMS HELICOPTER CORPORATION,UH-1H
VH-NVS,HELITAK 276,Australia,BELL HELICOPTER CO,412 SP
VH-LSV,HELITAK 277,Australia,"AGUSTA, SPA, CONSTRUZIONI AERONAUTICHE",AB412
VH-DHY,HELITAK 281,Australia,GARLICK HELICOPTERS INC,UH-1B
VH-RSL,HELITAK 282,Australia,GARLICK HELICOPTERS INC,UH-1H
VH-82E,HELITAK 284,Australia,BELL HELICOPTER CO,412 SP
VH-TNG,HELITAK 294,Australia,EUROCOPTER DEUTSCLAND GMBH,MBB-BK 117 C-2
VH-UEC,HELITAK 296,Australia,BELL HELICOPTER CO,212
VH-VRC,HELITAK 297,Australia,BELL HELICOPTER CO,204B
VH-NNN,HELITAK 329,Australia,BELL HELICOPTER CO,212
VH-JQR,HELITAK 331,Australia,BELL HELICOPTER TEXTRON CANADA LIMITED,412EP
VH-KAC,HELITAK 332,Australia,BELL HELICOPTER CO,412
VH-KHW,HELITAK 333,Australia,BELL HELICOPTER CO,412EP
VH-KWU,HELITAK 334,Australia,BELL HELICOPTER CO,412
VH-EJL,HELITAK 336,Australia,BELL HELICOPTER CO,204B
VH-NEN,HELITAK 337,Australia,BELL HELICOPTER CO,212
VH-JJR,HELITAK 338,Australia,BELL HELICOPTER CO,212
VH-KHY,HELITAK 344,Australia,BELL HELICOPTER CO,212
VH-KHU,HELITAK 346,Australia,BELL HELICOPTER CO,412
VH-JWV,HELITAK 365,Australia,BELL HELICOPTER CO,212
VH-NSY,HELITAK 366,Australia,BELL HELICOPTER CO,212
VH-KHO,HELITAK 368,Australia,BELL HELICOPTER CO,212
VH-OCD,HELITAK 416,Australia,BELL HELICOPTER CO,204B
VH-SUH,HELITAK 417,Australia,BELL HELICOPTER CO,214B-1
VH-SMI,HELITAK 418,Australia,BELL HELICOPTER CO,214B-1
VH-XRH,HELITAK 419,Australia,AGUSTAWESTLAND PHILADELPHIA CORPORATION,AW119MKII
VH-ZVP,HELITAK 421,Australia,BELL HELICOPTER TEXTRON,412
VH-UHE,HELITAK 423,Australia,BELL HELICOPTER CO,UH-1H
VH-SUF,HELITAK 424,Australia,BELL HELICOPTER CO,214B-1
VH-SEK,HELITAK 430,Australia,BELL HELICOPTER CO,214B-1
VH-T53,HELITAK 432,Australia,BELL HELICOPTER TEXTRON,212
VH-PPH,HELITAK 462,Australia,BELL HELICOPTER CO,412
VH-IYS,HELITAK 482,Australia,EUROCOPTER FRANCE,AS.365N2
VH-ZGK,HELITAK 757,Australia,BELL HELICOPTER CO,212
VH-ZRP,HELITAK 767,Australia,BELL HELICOPTER CO,212
VH-EWA,RESCUE 651,Australia,BELL HELICOPTER CO,412EP
VH-EPK,RESCUE 652,Australia,BELL HELICOPTER CO,412EP
VH111,VH-TEST1,Australia,BELL HELICOPTER CO,204B
VH123,VH-TEST5,Australia,BELL HELICOPTER CO,205 A1
