Reg,Callsign,Section,Type
VH-FNH,FD527,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FNH,FD540,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FXN,FD543,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FVB,FD564,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FXN,FD573,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FVA,FD865,RFDS - CENTRAL OPERATIONS,Fixed-Wing Aircraft
VH-FDZ,FD458,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-8FQ,FD469,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-8FD,FD471,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-FDM,FD478,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-VQD,FD491,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-FDL,FD493,RFDS - (QUEENSLAND SECTION),Fixed-Wing Aircraft
VH-OWG,FD604,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-OWV,FD619,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-OWZ,FD623,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-NWO,FD626J,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-KWO,FD628J,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-JFQ,FD645,RFDS - (WESTERN OPERATIONS),Fixed-Wing Aircraft
VH-LTQ,AM793,RFDS - (SOUTH EASTERN SECTION),Fixed-Wing Aircraft
