Category,Description
Category 1,Heavy Tanker (3000L+) 4x4
Category 2,Medium Tanker (1600-3000L) 4x4
Category 3,4x2 crew / single cab (3000 – 4000 litre) tanker.
Category 4,4x2 crew / single cab (1600 – 3000 litre) tanker.
Category 5,4x4 or 6x6 crew / single cab (over 4000 litre) tanker.
Category 6,4x2 crew / single cab (over 4000 litre) tanker.
Category 7,Light Tanker (800-1600L) 4x4
Category 8,4x2 crew / single cab (800 – 1600 litre) tanker.
Category 9,Striker / Ute ( < 800L) 4x4
Category 10,Urban Pumper
Category 11,Urban Pumper
Category 12,"Personnel carrier / transport, 4x4."
Category 13,Bulk water carrier.
Category 15,Fire boats.
Category 16,FCO vehicle / group vehicle.
Category 17,General cargo / Prime movers.
Category 18,Catering vehicles.
Category 19,Communication vehicles.
Category 20,Other appliances / rescue.
Category 21,Light rescue.
