Zone ID,Zone,Districts,Channel
17,Northern Beaches,Northern Beaches,NBCHS A+B
18,Hornsby/Ku-ring-gai,"Hornsby, Ku-ring-gai",HNSBY A+B
19,The Hills,The Hills,HILLS A+B
20,Hawkesbury,Hawkesbury,HWKSB A+B
21,Cumberland,"Blacktown, Fairfield, Penrith",CMBLD A+B
22,Blue Mountains,Blue Mountains,BLMTN A+B
23,Macarthur,"Camden, Campbelltown, Liverpool",MCTHR A+B
24,Sutherland,Sutherland,SUTHE A+B
25,Illawarra,"Kiama, Shellharbour, Wollongong",ILLAW A+B
26,Southern Highlands,"Wingecarribee, Wollondilly",STHHG A+B
